"Period","Industry","Unit","RBNZ_Series","Loans_By_Industry","CPI_All_Groups","CPI_Item","Fisher_Ideal_House_Prices","Real_Loans_By_Industry","Quarterly_PC","Annual_PC","Floating_First_Mortgage_Interest_Rate","Paid_Hours_Worked","Real_GDP","Real_Mortgages","House_Mortgage_Interest_Rate","Labour_Paid_Hours_Worked","Log_GDP","Log_Fisher_Ideal_House_Prices","Estimated_Real_Housing_Mortgages","Trend","Nominal_Estimate","Estimate"
2016-12-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",159793,991.198281238177,"All groups",4.70189440614432,33984.8125451704,NA,NA,5.61,61.4299602815664,59.2820575949733,10.4336690139547,1.72455071953461,4.11789766861151,4.08230669015222,1.54796549264417,NA,1,NA,1433.232050889
2017-01-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",160899,992.695687469149,"All groups",4.71748242846953,34106.9632880858,0.359427443517757,NA,5.7,61.6880561940061,59.4308132488928,10.4372568444219,1.7404661748405,4.12209033346926,4.08481283343256,1.55127527349889,NA,2,NA,1439.90315612767
2017-02-28,"Households - Housing","NZDm","BSZA.MAE2A4.H1",161607,994.067451997059,"All groups",4.72795178236025,34181.1861540017,0.217617925375024,NA,5.72,61.8997587371257,59.563895198327,10.4394306592272,1.74396880539171,4.12551628205978,4.0870496052463,1.55349208173543,NA,3,NA,1447.36391969168
2017-03-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",162708,995.594178622349,"All groups",4.73786814552784,34342.0278915071,0.470556336988004,1.05110288856793,5.78,62.0923591886715,59.7116663852108,10.4441251860424,1.75440368268429,4.12862294092926,4.08952741814487,1.55558727620791,NA,4,NA,1452.93213676749
2017-04-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",163534,997.066443024337,"All groups",4.74770266068805,34444.8698007343,0.299463705382164,0.990725881382093,5.8,62.2254554722194,59.8569273269694,10.4471153481024,1.75785791755237,4.13076416798933,4.09195717011759,1.55766085066852,NA,5,NA,1456.7267922014
2017-05-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",164571,998.56829139858,"All groups",4.75851449371051,34584.5326766408,0.405467858390662,1.18002494361031,5.81,62.3229880215768,60.0113124216208,10.45116182863,1.75958057086382,4.13233034684405,4.09453308481095,1.55993553838262,NA,6,NA,1458.85678330917
2017-06-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",165371,999.989328896497,"All groups",4.76958676447346,34671.9764554396,0.252840712396885,0.960771929295778,5.84,62.3998452557809,60.1667282462238,10.4536870447104,1.76473079684014,4.133562795497,4.09711951258725,1.56225966896161,NA,7,NA,1459.38535563771
2017-07-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",165642,1001.41395395507,"All groups",4.78163741746327,34641.271501484,-0.0885584183383914,0.570191444722679,5.84,62.4832783751255,60.3350418251168,10.4528010681657,1.76473079684014,4.13489897494755,4.09991305974015,1.56478304379913,NA,8,NA,1460.83877845864
2017-08-31,"Households - Housing","NZDm","BSZA.MAE2A4.H1",166579,1002.7985200384,"All groups",4.79428682746111,34745.3137442372,0.300341870386434,0.46489298872312,5.84,62.5932814034019,60.510966906011,10.4557999856181,1.76473079684014,4.13665794652197,4.1028246197829,1.56742496473162,NA,9,NA,1463.4549125704
2017-09-30,"Households - Housing","NZDm","BSZA.MAE2A4.H1",167378,1004.10792224458,"All groups",4.80707873333557,34819.0677301136,0.212270311960094,0.424236774800124,5.84,62.7464476372438,60.6878402927222,10.4579204389865,1.76473079684014,4.13910196505075,4.10574335333094,1.57008956767005,NA,10,NA,1468.13779918751
