Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG05ANP02000S800,2024.12,174,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,NP02,Purchase of non-produced non-financial assets,,,,,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG05ANP02000S800,2025.03,129,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,NP02,Purchase of non-produced non-financial assets,,,,,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG05ANP02000S800,2025.06,95,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,NP02,Purchase of non-produced non-financial assets,,,,,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG05AP051C00S900,2016.06,9257,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG05AP051C00S900,2016.09,9403,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG05AP051C00S900,2016.12,9547,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG05AP051C00S900,2017.03,9697,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG05AP051C00S900,2017.06,9693,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG05AP051C00S900,2017.09,9839,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG05AP051C00S900,2017.12,9999,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG05AP051C00S900,2018.03,10241,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG05AP051C00S900,2018.06,11048,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG05AP051C00S900,2018.09,11221,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG05AP051C00S900,2018.12,11418,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG05AP051C00S900,2019.03,11512,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG05AP051C00S900,2019.06,10942,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG05AP051C00S900,2019.09,11101,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG05AP051C00S900,2019.12,11297,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG05AP051C00S900,2020.03,11512,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG05AP051C00S900,2020.06,11575,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG05AP051C00S900,2020.09,11683,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG05AP051C00S900,2020.12,11804,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG05AP051C00S900,2021.03,11880,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG05AP051C00S900,2021.06,12220,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG05AP051C00S900,2021.09,12469,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG05AP051C00S900,2021.12,12745,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG05AP051C00S900,2022.03,13171,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG05AP051C00S900,2022.06,13611,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG05AP051C00S900,2022.09,14170,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG05AP051C00S900,2022.12,14655,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG05AP051C00S900,2023.03,15311,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG05AP051C00S900,2023.06,15180,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG05AP051C00S900,2023.09,15601,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG05AP051C00S900,2023.12,15911,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG05AP051C00S900,2024.03,16202,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG05AP051C00S900,2024.06,16168,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG05AP051C00S900,2024.09,16398,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG05AP051C00S900,2024.12,16539,Experimental,Dollars,6,A,Consolidated accounts - table 1.3,P051C,Consumption of fixed catpital,AN1,Produced non-financial assets,,,National Accounts - SNA 2008 - SNE,2024,12
