Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG04SB06NU00S310,2018.03,14781,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG04SB06NU00S310,2018.06,13767,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG04SB06NU00S310,2018.09,13984,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG04SB06NU00S310,2018.12,14383,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG04SB06NU00S310,2019.03,15343,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG04SB06NU00S310,2019.06,15985,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG04SB06NU00S310,2019.09,15736,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG04SB06NU00S310,2019.12,16385,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG04SB06NU00S310,2020.03,11477,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG04SB06NU00S310,2020.06,1367,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG04SB06NU00S310,2020.09,12638,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG04SB06NU00S310,2020.12,14979,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG04SB06NU00S310,2021.03,15033,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG04SB06NU00S310,2021.06,16779,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG04SB06NU00S310,2021.09,12646,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG04SB06NU00S310,2021.12,14582,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG04SB06NU00S310,2022.03,17993,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG04SB06NU00S310,2022.06,18008,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG04SB06NU00S310,2022.09,18573,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG04SB06NU00S310,2022.12,18215,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG04SB06NU00S310,2023.03,20185,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG04SB06NU00S310,2023.06,17230,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG04SB06NU00S310,2023.09,19886,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG04SB06NU00S310,2023.12,20987,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG04SB06NU00S310,2024.03,19879,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG04SB06NU00S310,2024.06,20210,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG04SB06NU00S310,2024.09,20395,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG04SB06NU00S310,2024.12,19598,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG04SB06NU00S310,2025.03,19905,Experimental,Dollars,6,S,Income and Outlay,B06NU,Use of net disposable income,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG04SB08N000S310,2016.06,2254,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG04SB08N000S310,2016.09,2364,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG04SB08N000S310,2016.12,2005,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG04SB08N000S310,2017.03,1928,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG04SB08N000S310,2017.06,2560,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG04SB08N000S310,2017.09,2324,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG04SB08N000S310,2017.12,1995,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG04SB08N000S310,2018.03,3016,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG04SB08N000S310,2018.06,1812,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG04SB08N000S310,2018.09,1729,Experimental,Dollars,6,S,Income and Outlay,B08N,Net saving,,,31,Central government institutions,National Accounts - SNA 2008 - SNE,2018,9
