Series_reference,Period,Value,Unit,Series_name,Group,RBNZ_seriesID
SNEQ.SG15ALE00000AFL7000S500N,2003.06,137,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2003.06,244903,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2003.06,339,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2003.06,562541,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2003.06,778,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2003.06,317638,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2003.06,440,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2003.09,1476200,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2003.09,1563300,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2003.09,73860,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2003.09,5909,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2003.09,1512,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2003.09,7421,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2003.09,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2003.09,34298,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2003.09,19166,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2003.09,1489,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2003.09,382,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2003.09,1871,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2003.09,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2003.09,408524,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2003.09,553,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2003.09,205037,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2003.09,278,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2003.09,77685,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2003.09,105,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2003.09,61059,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2003.09,102643,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2003.09,139,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2003.09,266096,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2003.09,360,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2003.09,596935,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2003.09,808,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2003.09,330839,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2003.09,448,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2003.12,1482900,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2003.12,1569900,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2003.12,75620,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2003.12,6005,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2003.12,1537,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2003.12,7542,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2003.12,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2003.12,38238,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2003.12,19566,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2003.12,1537,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2003.12,399,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2003.12,1936,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2003.12,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2003.12,425259,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2003.12,562,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2003.12,226516,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2003.12,300,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2003.12,81074,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2003.12,107,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2003.12,63914,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2003.12,107231,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2003.12,142,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2003.12,290430,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2003.12,384,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2003.12,634614,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2003.12,839,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2003.12,344184,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2003.12,455,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2004.03,1490700,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2004.03,1577700,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB01GE00ANA0000S900,2004.03,144502,NZDm,Expenditure GDP (annual),Nominal Gross Domestic Product (GDP),NATE.Y.E0Y.na
SNEA.SG15AB01GP00ANA0000S900,2004.03,144502,NZDm,Production GDP (annual),Nominal Gross Domestic Product (GDP),NATA.Y.G0.na
SNEA.SG15AB06NR00ANA0000S500,2004.03,77429,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2004.03,6157,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2004.03,1565,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2004.03,7722,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2004.03,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2004.03,37564,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2004.03,19946,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2004.03,1631,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2004.03,404,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2004.03,2035,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2004.03,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2004.03,440459,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2004.03,569,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2004.03,236234,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2004.03,305,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2004.03,83649,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2004.03,108,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2004.03,66441,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2004.03,110845,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2004.03,143,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2004.03,302675,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2004.03,391,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2004.03,659485,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2004.03,852,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2004.03,356810,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2004.03,461,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2004.06,1498400,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2004.06,1585300,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2004.06,79049,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2004.06,6368,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2004.06,1594,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2004.06,7962,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2004.06,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2004.06,37465,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2004.06,20370,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2004.06,1711,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2004.06,408,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2004.06,2119,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2004.06,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2004.06,447325,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2004.06,566,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2004.06,240750,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2004.06,305,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2004.06,86963,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2004.06,110,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2004.06,68964,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2004.06,115204,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2004.06,146,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2004.06,309714,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2004.06,392,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2004.06,670076,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2004.06,848,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2004.06,360362,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2004.06,456,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2004.09,1506200,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2004.09,1593000,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2004.09,80582,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2004.09,6692,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2004.09,1631,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2004.09,8323,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2004.09,10,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2004.09,37182,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2004.09,20700,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2004.09,1813,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2004.09,419,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2004.09,2232,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2004.09,11,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2004.09,455394,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2004.09,565,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2004.09,251762,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2004.09,312,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2004.09,89407,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2004.09,111,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2004.09,71248,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2004.09,118593,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2004.09,147,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2004.09,323010,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2004.09,401,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2004.09,688997,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2004.09,855,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2004.09,365987,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2004.09,454,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2004.12,1514200,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2004.12,1600900,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB06NR00ANA0000S500,2004.12,82012,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2004.12,7082,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2004.12,1678,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2004.12,8760,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2004.12,11,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2004.12,40800,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2004.12,20996,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2004.12,1926,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2004.12,446,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2004.12,2372,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2004.12,11,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2004.12,465162,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2004.12,567,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2004.12,261234,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2004.12,319,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2004.12,92821,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2004.12,113,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2004.12,74127,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2004.12,123289,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2004.12,150,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2004.12,335360,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2004.12,409,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2004.12,707701,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2004.12,863,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2004.12,372341,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
SNEQ.SG15ALE00000B910000S500N,2004.12,454,%,Household net financial wealth,As a percentage of household disposable income,HHAL.QR3
DDEQ.SHA,2005.03,1520800,no,Number of households (at end of quarter),Housing stock,PDWEL.Q.H1.na
DDEQ.SKA,2005.03,1607400,no,Number of private dwellings (at end of quarter),Housing stock,PDWEL.Q.D1.na
SNEA.SG15AB01GE00ANA0000S900,2005.03,154559,NZDm,Expenditure GDP (annual),Nominal Gross Domestic Product (GDP),NATE.Y.E0Y.na
SNEA.SG15AB01GP00ANA0000S900,2005.03,154559,NZDm,Production GDP (annual),Nominal Gross Domestic Product (GDP),NATA.Y.G0.na
SNEA.SG15AB06NR00ANA0000S500,2005.03,83327,NZDm,Household disposable income (year ended),Household disposable income,HHAL.QC4rt12
SNEA.SG15AD041P00AFL0471S500,2005.03,7470,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH1rt12
SNEA.SG15AD041P00AFL0481S500,2005.03,1730,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZH2rt12
SNEA.SG15AD041P00ANA0000S500,2005.03,9200,NZDm,Total interest payments,Memo item: Household debt servicing (year ended),HHAL.QD2.ZZHrt12
SNEA.SG15AD041P00ANA0000S500N,2005.03,11,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (year ended),HHAL.QR7.ZZHrt12
SNEQ.SG15AB01GE00ANA0000S900,2005.03,39112,NZDm,Expenditure GDP (quarterly),Nominal Gross Domestic Product (GDP),GDE.Q.EY.NA
SNEQ.SG15AB06NR00ANA0000S500,2005.03,21262,NZDm,Household disposable income (quarterly),Household disposable income,HHAL.QC4
SNEQ.SG15AD041P00AFL0471S500,2005.03,2019,NZDm,Interest payments on housing loans (including rental properties),Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH1
SNEQ.SG15AD041P00AFL0481S500,2005.03,456,NZDm,Interest payments on consumer loans,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH2
SNEQ.SG15AD041P00ANA0000S500,2005.03,2475,NZDm,Total interest payments,Memo item: Household debt servicing (quarterly),HHAL.QD2.ZZH
SNEQ.SG15AD041P00ANA0000S500N,2005.03,12,%,Total interest payments as a percentage of household disposable income,Memo item: Household debt servicing (quarterly),HHAL.QR7.ZZH
SNEQ.SG15ALE00000AFA0000S500,2005.03,472696,NZDm,Household financial assets,Household net financial wealth,HHAL.QA
SNEQ.SG15ALE00000AFA0000S500N,2005.03,567,%,Household financial assets,As a percentage of household disposable income,HHAL.QR1
SNEQ.SG15ALE00000AFA0586S500,2005.03,275462,NZDm,Net equity in housing,Net equity in housing,HHAL.QC2
SNEQ.SG15ALE00000AFA0586S500N,2005.03,331,%,Net equity in housing,As a percentage of household disposable income,HHAL.QR5
SNEQ.SG15ALE00000AFL0000S500,2005.03,95874,NZDm,Household financial liabilities,Household net financial wealth,HHAL.QB
SNEQ.SG15ALE00000AFL0000S500N,2005.03,115,%,Household financial liabilities,As a percentage of household disposable income,HHAL.QR2
SNEQ.SG15ALE00000AFL0461S500,2005.03,76996,NZDm,Housing loans,Net equity in housing,HHAL.QB11
SNEQ.SG15ALE00000AFL7000S500,2005.03,127536,NZDm,Household financial liabilities (including rental properties),Memo item: Household debt including rental properties,HHAL.QM21
SNEQ.SG15ALE00000AFL7000S500N,2005.03,153,%,Household financial liabilities (including rental properties) as a percentage of household disposable income,Memo item: Household debt including rental properties,HHAL.QM23
SNEQ.SG15ALE00000AN60000S500,2005.03,352458,NZDm,Housing and land value,Household net wealth,HHAL.QC6
SNEQ.SG15ALE00000AN60000S500N,2005.03,423,%,Housing and land value,As a percentage of household disposable income,HHAL.QR4
SNEQ.SG15ALE00000B900000S500,2005.03,729280,NZDm,Household net wealth,Household net wealth,HHAL.QC3
SNEQ.SG15ALE00000B900000S500N,2005.03,875,%,Household net wealth,As a percentage of household disposable income,HHAL.QR6
SNEQ.SG15ALE00000B910000S500,2005.03,376822,NZDm,Household net financial wealth,Household net financial wealth,HHAL.QC5
