"Period","Derived_Total","Measure","Value"
2017-09-30,"Payments","Hhld Transfers to Government",9291
2017-12-31,"Payments","Hhld Transfers to Government",9270
2018-03-31,"Payments","Hhld Transfers to Government",9603
2018-06-30,"Payments","Hhld Transfers to Government",9326
2018-09-30,"Payments","Hhld Transfers to Government",9896
2018-12-31,"Payments","Hhld Transfers to Government",9985
2019-03-31,"Payments","Hhld Transfers to Government",10333
2019-06-30,"Payments","Hhld Transfers to Government",10392
2019-09-30,"Payments","Hhld Transfers to Government",10341
2019-12-31,"Payments","Hhld Transfers to Government",10849
2020-03-31,"Payments","Hhld Transfers to Government",10796
2020-06-30,"Payments","Hhld Transfers to Government",10245
2020-09-30,"Payments","Hhld Transfers to Government",11396
2020-12-31,"Payments","Hhld Transfers to Government",11480
2021-03-31,"Payments","Hhld Transfers to Government",11985
2021-06-30,"Payments","Hhld Transfers to Government",12613
2021-09-30,"Payments","Hhld Transfers to Government",12512
2021-12-31,"Payments","Hhld Transfers to Government",13357
2022-03-31,"Payments","Hhld Transfers to Government",13511
2022-06-30,"Payments","Hhld Transfers to Government",14229
2022-09-30,"Payments","Hhld Transfers to Government",14158
2022-12-31,"Payments","Hhld Transfers to Government",14259
2023-03-31,"Payments","Hhld Transfers to Government",14764
2023-06-30,"Payments","Hhld Transfers to Government",14550
2023-09-30,"Payments","Hhld Transfers to Government",15751
2023-12-31,"Payments","Hhld Transfers to Government",16144
2024-03-31,"Payments","Hhld Transfers to Government",16125
2024-06-30,"Payments","Hhld Transfers to Government",16467
2024-09-30,"Payments","Hhld Transfers to Government",16324
2024-12-31,"Payments","Hhld Transfers to Government",16079
2025-03-31,"Payments","Hhld Transfers to Government",16043
2025-06-30,"Payments","Hhld Transfers to Government",16020
2016-06-30,"Payments","Hhld Transfers to Private Sector",3890
2016-09-30,"Payments","Hhld Transfers to Private Sector",3955
2016-12-31,"Payments","Hhld Transfers to Private Sector",3928
2017-03-31,"Payments","Hhld Transfers to Private Sector",3981
2017-06-30,"Payments","Hhld Transfers to Private Sector",3992
2017-09-30,"Payments","Hhld Transfers to Private Sector",4053
2017-12-31,"Payments","Hhld Transfers to Private Sector",4092
2018-03-31,"Payments","Hhld Transfers to Private Sector",4220
2018-06-30,"Payments","Hhld Transfers to Private Sector",4178
2018-09-30,"Payments","Hhld Transfers to Private Sector",4139
2018-12-31,"Payments","Hhld Transfers to Private Sector",4256
2019-03-31,"Payments","Hhld Transfers to Private Sector",4274
2019-06-30,"Payments","Hhld Transfers to Private Sector",4477
2019-09-30,"Payments","Hhld Transfers to Private Sector",4609
2019-12-31,"Payments","Hhld Transfers to Private Sector",4745
2020-03-31,"Payments","Hhld Transfers to Private Sector",4839
