"Period","Derived_Total","Measure","Value"
1991-03-31,"HCE","Housing and household utilities",2846
1991-03-31,"HCE","Miscellaneous goods and services",974
1991-03-31,"HCE","Recreation and culture",1028
1991-03-31,"HCE","Restaurants and hotels",667
1991-03-31,"HCE","Transport",1532
1991-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",681
1991-06-30,"HCE","Clothing and footwear",538
1991-06-30,"HCE","Communication",255
1991-06-30,"HCE","Food and nonalcoholic beverages",1574
1991-06-30,"HCE","Household contents and services",671
1991-06-30,"HCE","Housing and household utilities",2872
1991-06-30,"HCE","Miscellaneous goods and services",915
1991-06-30,"HCE","Recreation and culture",1018
1991-06-30,"HCE","Restaurants and hotels",623
1991-06-30,"HCE","Transport",1571
1991-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",679
1991-09-30,"HCE","Clothing and footwear",547
1991-09-30,"HCE","Communication",295
1991-09-30,"HCE","Food and nonalcoholic beverages",1584
1991-09-30,"HCE","Household contents and services",677
1991-09-30,"HCE","Housing and household utilities",2867
1991-09-30,"HCE","Miscellaneous goods and services",956
1991-09-30,"HCE","Recreation and culture",1027
1991-09-30,"HCE","Restaurants and hotels",593
1991-09-30,"HCE","Transport",1645
1991-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",671
1991-12-31,"HCE","Clothing and footwear",560
1991-12-31,"HCE","Communication",305
1991-12-31,"HCE","Food and nonalcoholic beverages",1575
1991-12-31,"HCE","Household contents and services",676
1991-12-31,"HCE","Housing and household utilities",2885
1991-12-31,"HCE","Miscellaneous goods and services",953
1991-12-31,"HCE","Recreation and culture",1024
1991-12-31,"HCE","Restaurants and hotels",621
1991-12-31,"HCE","Transport",1561
1992-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",688
1992-03-31,"HCE","Clothing and footwear",564
1992-03-31,"HCE","Communication",309
1992-03-31,"HCE","Food and nonalcoholic beverages",1632
1992-03-31,"HCE","Household contents and services",694
1992-03-31,"HCE","Housing and household utilities",2882
1992-03-31,"HCE","Miscellaneous goods and services",989
1992-03-31,"HCE","Recreation and culture",1031
1992-03-31,"HCE","Restaurants and hotels",611
1992-03-31,"HCE","Transport",1545
1992-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",676
1992-06-30,"HCE","Clothing and footwear",567
1992-06-30,"HCE","Communication",301
1992-06-30,"HCE","Food and nonalcoholic beverages",1617
1992-06-30,"HCE","Household contents and services",701
1992-06-30,"HCE","Housing and household utilities",2888
1992-06-30,"HCE","Miscellaneous goods and services",1002
1992-06-30,"HCE","Recreation and culture",1041
1992-06-30,"HCE","Restaurants and hotels",607
1992-06-30,"HCE","Transport",1541
1992-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",681
1992-09-30,"HCE","Clothing and footwear",560
1992-09-30,"HCE","Communication",295
1992-09-30,"HCE","Food and nonalcoholic beverages",1640
1992-09-30,"HCE","Household contents and services",710
1992-09-30,"HCE","Housing and household utilities",2843
1992-09-30,"HCE","Miscellaneous goods and services",999
1992-09-30,"HCE","Recreation and culture",1048
1992-09-30,"HCE","Restaurants and hotels",613
1992-09-30,"HCE","Transport",1549
1992-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",692
1992-12-31,"HCE","Clothing and footwear",554
1992-12-31,"HCE","Communication",298
1992-12-31,"HCE","Food and nonalcoholic beverages",1667
1992-12-31,"HCE","Household contents and services",728
1992-12-31,"HCE","Housing and household utilities",2905
1992-12-31,"HCE","Miscellaneous goods and services",999
1992-12-31,"HCE","Recreation and culture",1073
1992-12-31,"HCE","Restaurants and hotels",657
1992-12-31,"HCE","Transport",1567
1993-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",694
1993-03-31,"HCE","Clothing and footwear",559
1993-03-31,"HCE","Communication",301
1993-03-31,"HCE","Food and nonalcoholic beverages",1663
1993-03-31,"HCE","Household contents and services",749
1993-03-31,"HCE","Housing and household utilities",2916
1993-03-31,"HCE","Miscellaneous goods and services",981
1993-03-31,"HCE","Recreation and culture",1085
1993-03-31,"HCE","Restaurants and hotels",598
1993-03-31,"HCE","Transport",1550
1993-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",701
1993-06-30,"HCE","Clothing and footwear",580
1993-06-30,"HCE","Communication",303
1993-06-30,"HCE","Food and nonalcoholic beverages",1663
1993-06-30,"HCE","Household contents and services",780
1993-06-30,"HCE","Housing and household utilities",2943
1993-06-30,"HCE","Miscellaneous goods and services",977
1993-06-30,"HCE","Recreation and culture",1122
1993-06-30,"HCE","Restaurants and hotels",657
1993-06-30,"HCE","Transport",1538
1993-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",703
1993-09-30,"HCE","Clothing and footwear",589
1993-09-30,"HCE","Communication",301
1993-09-30,"HCE","Food and nonalcoholic beverages",1678
1993-09-30,"HCE","Household contents and services",809
1993-09-30,"HCE","Housing and household utilities",2974
1993-09-30,"HCE","Miscellaneous goods and services",980
1993-09-30,"HCE","Recreation and culture",1162
1993-09-30,"HCE","Restaurants and hotels",669
1993-09-30,"HCE","Transport",1542
1993-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",696
1993-12-31,"HCE","Clothing and footwear",587
1993-12-31,"HCE","Communication",307
1993-12-31,"HCE","Food and nonalcoholic beverages",1699
1993-12-31,"HCE","Household contents and services",821
1993-12-31,"HCE","Housing and household utilities",2994
1993-12-31,"HCE","Miscellaneous goods and services",968
1993-12-31,"HCE","Recreation and culture",1163
1993-12-31,"HCE","Restaurants and hotels",694
1993-12-31,"HCE","Transport",1630
1994-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",696
1994-03-31,"HCE","Clothing and footwear",585
1994-03-31,"HCE","Communication",317
1994-03-31,"HCE","Food and nonalcoholic beverages",1702
1994-03-31,"HCE","Household contents and services",849
1994-03-31,"HCE","Housing and household utilities",3019
1994-03-31,"HCE","Miscellaneous goods and services",975
1994-03-31,"HCE","Recreation and culture",1204
1994-03-31,"HCE","Restaurants and hotels",699
1994-03-31,"HCE","Transport",1778
1994-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",698
1994-06-30,"HCE","Clothing and footwear",607
1994-06-30,"HCE","Communication",323
1994-06-30,"HCE","Food and nonalcoholic beverages",1743
1994-06-30,"HCE","Household contents and services",861
1994-06-30,"HCE","Housing and household utilities",3053
1994-06-30,"HCE","Miscellaneous goods and services",1006
1994-06-30,"HCE","Recreation and culture",1264
1994-06-30,"HCE","Restaurants and hotels",741
1994-06-30,"HCE","Transport",1773
1994-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",696
1994-09-30,"HCE","Clothing and footwear",621
1994-09-30,"HCE","Communication",324
1994-09-30,"HCE","Food and nonalcoholic beverages",1780
1994-09-30,"HCE","Household contents and services",881
1994-09-30,"HCE","Housing and household utilities",3141
1994-09-30,"HCE","Miscellaneous goods and services",1016
1994-09-30,"HCE","Recreation and culture",1285
1994-09-30,"HCE","Restaurants and hotels",730
1994-09-30,"HCE","Transport",1844
1994-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",693
1994-12-31,"HCE","Clothing and footwear",626
1994-12-31,"HCE","Communication",330
1994-12-31,"HCE","Food and nonalcoholic beverages",1856
1994-12-31,"HCE","Household contents and services",877
1994-12-31,"HCE","Housing and household utilities",3208
1994-12-31,"HCE","Miscellaneous goods and services",1027
1994-12-31,"HCE","Recreation and culture",1284
1994-12-31,"HCE","Restaurants and hotels",790
1994-12-31,"HCE","Transport",1883
1995-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",703
1995-03-31,"HCE","Clothing and footwear",619
1995-03-31,"HCE","Communication",340
1995-03-31,"HCE","Food and nonalcoholic beverages",1838
1995-03-31,"HCE","Household contents and services",903
1995-03-31,"HCE","Housing and household utilities",3291
1995-03-31,"HCE","Miscellaneous goods and services",1053
1995-03-31,"HCE","Recreation and culture",1305
1995-03-31,"HCE","Restaurants and hotels",799
1995-03-31,"HCE","Transport",1946
1995-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",727
1995-06-30,"HCE","Clothing and footwear",599
1995-06-30,"HCE","Communication",358
1995-06-30,"HCE","Food and nonalcoholic beverages",1882
1995-06-30,"HCE","Household contents and services",903
1995-06-30,"HCE","Housing and household utilities",3347
1995-06-30,"HCE","Miscellaneous goods and services",1064
1995-06-30,"HCE","Recreation and culture",1309
1995-06-30,"HCE","Restaurants and hotels",725
1995-06-30,"HCE","Transport",1972
1995-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",728
1995-09-30,"HCE","Clothing and footwear",605
1995-09-30,"HCE","Communication",371
1995-09-30,"HCE","Food and nonalcoholic beverages",1857
1995-09-30,"HCE","Household contents and services",892
1995-09-30,"HCE","Housing and household utilities",3438
1995-09-30,"HCE","Miscellaneous goods and services",1085
1995-09-30,"HCE","Recreation and culture",1336
1995-09-30,"HCE","Restaurants and hotels",762
1995-09-30,"HCE","Transport",2038
1995-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",745
1995-12-31,"HCE","Clothing and footwear",614
1995-12-31,"HCE","Communication",375
1995-12-31,"HCE","Food and nonalcoholic beverages",1867
1995-12-31,"HCE","Household contents and services",910
1995-12-31,"HCE","Housing and household utilities",3510
1995-12-31,"HCE","Miscellaneous goods and services",1112
1995-12-31,"HCE","Recreation and culture",1399
1995-12-31,"HCE","Restaurants and hotels",725
1995-12-31,"HCE","Transport",2099
1996-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",755
1996-03-31,"HCE","Clothing and footwear",632
1996-03-31,"HCE","Communication",393
1996-03-31,"HCE","Food and nonalcoholic beverages",1967
1996-03-31,"HCE","Household contents and services",890
1996-03-31,"HCE","Housing and household utilities",3596
1996-03-31,"HCE","Miscellaneous goods and services",1118
1996-03-31,"HCE","Recreation and culture",1428
1996-03-31,"HCE","Restaurants and hotels",772
1996-03-31,"HCE","Transport",2212
1996-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",759
1996-06-30,"HCE","Clothing and footwear",646
1996-06-30,"HCE","Communication",394
1996-06-30,"HCE","Food and nonalcoholic beverages",1965
1996-06-30,"HCE","Household contents and services",905
1996-06-30,"HCE","Housing and household utilities",3676
1996-06-30,"HCE","Miscellaneous goods and services",1118
1996-06-30,"HCE","Recreation and culture",1450
1996-06-30,"HCE","Restaurants and hotels",810
1996-06-30,"HCE","Transport",2263
1996-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",766
1996-09-30,"HCE","Clothing and footwear",640
1996-09-30,"HCE","Communication",400
1996-09-30,"HCE","Food and nonalcoholic beverages",2003
1996-09-30,"HCE","Household contents and services",905
1996-09-30,"HCE","Housing and household utilities",3712
1996-09-30,"HCE","Miscellaneous goods and services",1122
1996-09-30,"HCE","Recreation and culture",1506
1996-09-30,"HCE","Restaurants and hotels",842
1996-09-30,"HCE","Transport",2289
1996-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",762
1996-12-31,"HCE","Clothing and footwear",652
1996-12-31,"HCE","Communication",398
1996-12-31,"HCE","Food and nonalcoholic beverages",2005
1996-12-31,"HCE","Household contents and services",899
1996-12-31,"HCE","Housing and household utilities",3773
1996-12-31,"HCE","Miscellaneous goods and services",1166
1996-12-31,"HCE","Recreation and culture",1520
1996-12-31,"HCE","Restaurants and hotels",813
1996-12-31,"HCE","Transport",2253
1997-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",750
1997-03-31,"HCE","Clothing and footwear",666
1997-03-31,"HCE","Communication",423
1997-03-31,"HCE","Food and nonalcoholic beverages",2026
1997-03-31,"HCE","Household contents and services",867
1997-03-31,"HCE","Housing and household utilities",3819
1997-03-31,"HCE","Miscellaneous goods and services",1175
1997-03-31,"HCE","Recreation and culture",1566
1997-03-31,"HCE","Restaurants and hotels",898
1997-03-31,"HCE","Transport",2178
1997-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",754
1997-06-30,"HCE","Clothing and footwear",696
1997-06-30,"HCE","Communication",454
1997-06-30,"HCE","Food and nonalcoholic beverages",2059
1997-06-30,"HCE","Household contents and services",889
1997-06-30,"HCE","Housing and household utilities",3880
1997-06-30,"HCE","Miscellaneous goods and services",1210
1997-06-30,"HCE","Recreation and culture",1582
1997-06-30,"HCE","Restaurants and hotels",903
1997-06-30,"HCE","Transport",2118
1997-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",765
1997-09-30,"HCE","Clothing and footwear",674
1997-09-30,"HCE","Communication",470
1997-09-30,"HCE","Food and nonalcoholic beverages",2067
1997-09-30,"HCE","Household contents and services",893
1997-09-30,"HCE","Housing and household utilities",3949
1997-09-30,"HCE","Miscellaneous goods and services",1241
1997-09-30,"HCE","Recreation and culture",1615
1997-09-30,"HCE","Restaurants and hotels",889
1997-09-30,"HCE","Transport",2062
1997-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",794
1997-12-31,"HCE","Clothing and footwear",690
1997-12-31,"HCE","Communication",475
1997-12-31,"HCE","Food and nonalcoholic beverages",2065
1997-12-31,"HCE","Household contents and services",881
1997-12-31,"HCE","Housing and household utilities",4025
1997-12-31,"HCE","Miscellaneous goods and services",1235
1997-12-31,"HCE","Recreation and culture",1634
1997-12-31,"HCE","Restaurants and hotels",921
1997-12-31,"HCE","Transport",2053
1998-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",820
1998-03-31,"HCE","Clothing and footwear",692
1998-03-31,"HCE","Communication",429
1998-03-31,"HCE","Food and nonalcoholic beverages",2105
1998-03-31,"HCE","Household contents and services",886
1998-03-31,"HCE","Housing and household utilities",4109
1998-03-31,"HCE","Miscellaneous goods and services",1238
1998-03-31,"HCE","Recreation and culture",1654
1998-03-31,"HCE","Restaurants and hotels",1020
1998-03-31,"HCE","Transport",2072
1998-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",822
1998-06-30,"HCE","Clothing and footwear",687
1998-06-30,"HCE","Communication",382
1998-06-30,"HCE","Food and nonalcoholic beverages",2114
1998-06-30,"HCE","Household contents and services",905
1998-06-30,"HCE","Housing and household utilities",4177
1998-06-30,"HCE","Miscellaneous goods and services",1242
1998-06-30,"HCE","Recreation and culture",1697
1998-06-30,"HCE","Restaurants and hotels",970
1998-06-30,"HCE","Transport",2094
1998-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",837
1998-09-30,"HCE","Clothing and footwear",685
1998-09-30,"HCE","Communication",485
1998-09-30,"HCE","Food and nonalcoholic beverages",2155
1998-09-30,"HCE","Household contents and services",918
1998-09-30,"HCE","Housing and household utilities",4178
1998-09-30,"HCE","Miscellaneous goods and services",1264
1998-09-30,"HCE","Recreation and culture",1673
1998-09-30,"HCE","Restaurants and hotels",943
1998-09-30,"HCE","Transport",2078
1998-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",852
1998-12-31,"HCE","Clothing and footwear",695
1998-12-31,"HCE","Communication",472
1998-12-31,"HCE","Food and nonalcoholic beverages",2172
1998-12-31,"HCE","Household contents and services",946
1998-12-31,"HCE","Housing and household utilities",4167
1998-12-31,"HCE","Miscellaneous goods and services",1285
1998-12-31,"HCE","Recreation and culture",1716
1998-12-31,"HCE","Restaurants and hotels",1001
1998-12-31,"HCE","Transport",2156
1999-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",861
1999-03-31,"HCE","Clothing and footwear",701
1999-03-31,"HCE","Communication",491
1999-03-31,"HCE","Food and nonalcoholic beverages",2209
1999-03-31,"HCE","Household contents and services",970
1999-03-31,"HCE","Housing and household utilities",4153
1999-03-31,"HCE","Miscellaneous goods and services",1312
1999-03-31,"HCE","Recreation and culture",1732
1999-03-31,"HCE","Restaurants and hotels",978
1999-03-31,"HCE","Transport",2161
1999-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",866
1999-06-30,"HCE","Clothing and footwear",720
1999-06-30,"HCE","Communication",477
1999-06-30,"HCE","Food and nonalcoholic beverages",2221
1999-06-30,"HCE","Household contents and services",972
1999-06-30,"HCE","Housing and household utilities",4192
1999-06-30,"HCE","Miscellaneous goods and services",1344
1999-06-30,"HCE","Recreation and culture",1769
1999-06-30,"HCE","Restaurants and hotels",1013
1999-06-30,"HCE","Transport",2197
1999-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",865
1999-09-30,"HCE","Clothing and footwear",737
1999-09-30,"HCE","Communication",452
1999-09-30,"HCE","Food and nonalcoholic beverages",2248
1999-09-30,"HCE","Household contents and services",989
1999-09-30,"HCE","Housing and household utilities",4239
1999-09-30,"HCE","Miscellaneous goods and services",1352
1999-09-30,"HCE","Recreation and culture",1794
1999-09-30,"HCE","Restaurants and hotels",994
1999-09-30,"HCE","Transport",2235
1999-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",860
1999-12-31,"HCE","Clothing and footwear",742
1999-12-31,"HCE","Communication",457
1999-12-31,"HCE","Food and nonalcoholic beverages",2258
1999-12-31,"HCE","Household contents and services",1006
1999-12-31,"HCE","Housing and household utilities",4270
1999-12-31,"HCE","Miscellaneous goods and services",1370
1999-12-31,"HCE","Recreation and culture",1820
1999-12-31,"HCE","Restaurants and hotels",925
1999-12-31,"HCE","Transport",2207
2000-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",861
2000-03-31,"HCE","Clothing and footwear",752
2000-03-31,"HCE","Communication",459
2000-03-31,"HCE","Food and nonalcoholic beverages",2287
2000-03-31,"HCE","Household contents and services",1005
2000-03-31,"HCE","Housing and household utilities",4305
2000-03-31,"HCE","Miscellaneous goods and services",1385
2000-03-31,"HCE","Recreation and culture",1822
2000-03-31,"HCE","Restaurants and hotels",856
2000-03-31,"HCE","Transport",2191
2000-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",885
2000-06-30,"HCE","Clothing and footwear",758
2000-06-30,"HCE","Communication",480
2000-06-30,"HCE","Food and nonalcoholic beverages",2320
2000-06-30,"HCE","Household contents and services",1010
2000-06-30,"HCE","Housing and household utilities",4320
2000-06-30,"HCE","Imports of low value goods purchased directly by households",2
2000-06-30,"HCE","Miscellaneous goods and services",1397
2000-06-30,"HCE","Recreation and culture",1844
2000-06-30,"HCE","Restaurants and hotels",973
2000-06-30,"HCE","Transport",2270
2000-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",914
2000-09-30,"HCE","Clothing and footwear",780
2000-09-30,"HCE","Communication",474
2000-09-30,"HCE","Food and nonalcoholic beverages",2363
2000-09-30,"HCE","Household contents and services",1030
2000-09-30,"HCE","Housing and household utilities",4346
2000-09-30,"HCE","Imports of low value goods purchased directly by households",3
2000-09-30,"HCE","Miscellaneous goods and services",1423
2000-09-30,"HCE","Recreation and culture",1907
2000-09-30,"HCE","Restaurants and hotels",977
2000-09-30,"HCE","Transport",2283
2000-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",934
2000-12-31,"HCE","Clothing and footwear",775
2000-12-31,"HCE","Communication",472
2000-12-31,"HCE","Food and nonalcoholic beverages",2406
2000-12-31,"HCE","Household contents and services",1034
2000-12-31,"HCE","Housing and household utilities",4384
2000-12-31,"HCE","Imports of low value goods purchased directly by households",6
2000-12-31,"HCE","Miscellaneous goods and services",1432
2000-12-31,"HCE","Recreation and culture",1903
2000-12-31,"HCE","Restaurants and hotels",950
2000-12-31,"HCE","Transport",2286
2001-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",954
2001-03-31,"HCE","Clothing and footwear",776
2001-03-31,"HCE","Communication",478
2001-03-31,"HCE","Food and nonalcoholic beverages",2395
2001-03-31,"HCE","Household contents and services",1041
2001-03-31,"HCE","Housing and household utilities",4322
2001-03-31,"HCE","Imports of low value goods purchased directly by households",8
2001-03-31,"HCE","Miscellaneous goods and services",1439
2001-03-31,"HCE","Recreation and culture",1935
2001-03-31,"HCE","Restaurants and hotels",897
2001-03-31,"HCE","Transport",2265
2001-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",982
2001-06-30,"HCE","Clothing and footwear",795
2001-06-30,"HCE","Communication",490
2001-06-30,"HCE","Food and nonalcoholic beverages",2468
2001-06-30,"HCE","Household contents and services",1058
2001-06-30,"HCE","Housing and household utilities",4356
2001-06-30,"HCE","Imports of low value goods purchased directly by households",11
2001-06-30,"HCE","Miscellaneous goods and services",1454
2001-06-30,"HCE","Recreation and culture",1965
2001-06-30,"HCE","Restaurants and hotels",942
2001-06-30,"HCE","Transport",2411
2001-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",996
2001-09-30,"HCE","Clothing and footwear",805
2001-09-30,"HCE","Communication",519
2001-09-30,"HCE","Food and nonalcoholic beverages",2508
2001-09-30,"HCE","Household contents and services",1066
2001-09-30,"HCE","Housing and household utilities",4371
2001-09-30,"HCE","Imports of low value goods purchased directly by households",15
2001-09-30,"HCE","Miscellaneous goods and services",1484
2001-09-30,"HCE","Recreation and culture",2009
2001-09-30,"HCE","Restaurants and hotels",986
2001-09-30,"HCE","Transport",2442
2001-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1010
2001-12-31,"HCE","Clothing and footwear",818
2001-12-31,"HCE","Communication",514
2001-12-31,"HCE","Food and nonalcoholic beverages",2549
2001-12-31,"HCE","Household contents and services",1094
2001-12-31,"HCE","Housing and household utilities",4413
2001-12-31,"HCE","Imports of low value goods purchased directly by households",16
2001-12-31,"HCE","Miscellaneous goods and services",1518
2001-12-31,"HCE","Recreation and culture",2038
2001-12-31,"HCE","Restaurants and hotels",992
2001-12-31,"HCE","Transport",2427
2002-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1021
2002-03-31,"HCE","Clothing and footwear",818
2002-03-31,"HCE","Communication",519
2002-03-31,"HCE","Food and nonalcoholic beverages",2573
2002-03-31,"HCE","Household contents and services",1120
2002-03-31,"HCE","Housing and household utilities",4493
2002-03-31,"HCE","Imports of low value goods purchased directly by households",18
2002-03-31,"HCE","Miscellaneous goods and services",1546
2002-03-31,"HCE","Recreation and culture",2000
2002-03-31,"HCE","Restaurants and hotels",873
2002-03-31,"HCE","Transport",2440
2002-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1038
2002-06-30,"HCE","Clothing and footwear",842
2002-06-30,"HCE","Communication",534
2002-06-30,"HCE","Food and nonalcoholic beverages",2671
2002-06-30,"HCE","Household contents and services",1160
2002-06-30,"HCE","Housing and household utilities",4560
2002-06-30,"HCE","Imports of low value goods purchased directly by households",19
2002-06-30,"HCE","Miscellaneous goods and services",1589
2002-06-30,"HCE","Recreation and culture",2115
2002-06-30,"HCE","Restaurants and hotels",982
2002-06-30,"HCE","Transport",2485
2002-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1049
2002-09-30,"HCE","Clothing and footwear",842
2002-09-30,"HCE","Communication",526
2002-09-30,"HCE","Food and nonalcoholic beverages",2737
2002-09-30,"HCE","Household contents and services",1183
2002-09-30,"HCE","Housing and household utilities",4614
2002-09-30,"HCE","Imports of low value goods purchased directly by households",21
2002-09-30,"HCE","Miscellaneous goods and services",1617
2002-09-30,"HCE","Recreation and culture",2112
2002-09-30,"HCE","Restaurants and hotels",987
2002-09-30,"HCE","Transport",2589
2002-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1051
2002-12-31,"HCE","Clothing and footwear",843
2002-12-31,"HCE","Communication",544
2002-12-31,"HCE","Food and nonalcoholic beverages",2776
2002-12-31,"HCE","Household contents and services",1202
2002-12-31,"HCE","Housing and household utilities",4689
2002-12-31,"HCE","Imports of low value goods purchased directly by households",25
2002-12-31,"HCE","Miscellaneous goods and services",1658
2002-12-31,"HCE","Recreation and culture",2168
2002-12-31,"HCE","Restaurants and hotels",965
2002-12-31,"HCE","Transport",2620
2003-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1056
2003-03-31,"HCE","Clothing and footwear",848
2003-03-31,"HCE","Communication",558
2003-03-31,"HCE","Food and nonalcoholic beverages",2792
2003-03-31,"HCE","Household contents and services",1212
2003-03-31,"HCE","Housing and household utilities",4763
2003-03-31,"HCE","Imports of low value goods purchased directly by households",29
2003-03-31,"HCE","Miscellaneous goods and services",1680
2003-03-31,"HCE","Recreation and culture",2192
2003-03-31,"HCE","Restaurants and hotels",1051
2003-03-31,"HCE","Transport",2674
2003-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1058
2003-06-30,"HCE","Clothing and footwear",847
2003-06-30,"HCE","Communication",561
2003-06-30,"HCE","Food and nonalcoholic beverages",2840
2003-06-30,"HCE","Household contents and services",1230
2003-06-30,"HCE","Housing and household utilities",4825
2003-06-30,"HCE","Imports of low value goods purchased directly by households",35
2003-06-30,"HCE","Miscellaneous goods and services",1706
2003-06-30,"HCE","Recreation and culture",2238
2003-06-30,"HCE","Restaurants and hotels",1041
2003-06-30,"HCE","Transport",2653
2003-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1059
2003-09-30,"HCE","Clothing and footwear",869
2003-09-30,"HCE","Communication",581
2003-09-30,"HCE","Food and nonalcoholic beverages",2825
2003-09-30,"HCE","Household contents and services",1244
2003-09-30,"HCE","Housing and household utilities",4943
2003-09-30,"HCE","Imports of low value goods purchased directly by households",46
2003-09-30,"HCE","Miscellaneous goods and services",1725
2003-09-30,"HCE","Recreation and culture",2254
2003-09-30,"HCE","Restaurants and hotels",1035
2003-09-30,"HCE","Transport",2681
2003-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1095
2003-12-31,"HCE","Clothing and footwear",883
2003-12-31,"HCE","Communication",581
2003-12-31,"HCE","Food and nonalcoholic beverages",3000
2003-12-31,"HCE","Household contents and services",1257
2003-12-31,"HCE","Housing and household utilities",5071
2003-12-31,"HCE","Imports of low value goods purchased directly by households",57
2003-12-31,"HCE","Miscellaneous goods and services",1756
2003-12-31,"HCE","Recreation and culture",2285
2003-12-31,"HCE","Restaurants and hotels",1007
2003-12-31,"HCE","Transport",2794
2004-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1098
2004-03-31,"HCE","Clothing and footwear",898
2004-03-31,"HCE","Communication",594
2004-03-31,"HCE","Food and nonalcoholic beverages",3063
2004-03-31,"HCE","Household contents and services",1291
2004-03-31,"HCE","Housing and household utilities",5156
2004-03-31,"HCE","Imports of low value goods purchased directly by households",74
2004-03-31,"HCE","Miscellaneous goods and services",1821
2004-03-31,"HCE","Recreation and culture",2330
2004-03-31,"HCE","Restaurants and hotels",1039
2004-03-31,"HCE","Transport",2895
2004-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1088
2004-06-30,"HCE","Clothing and footwear",877
2004-06-30,"HCE","Communication",600
2004-06-30,"HCE","Food and nonalcoholic beverages",3022
2004-06-30,"HCE","Household contents and services",1299
2004-06-30,"HCE","Housing and household utilities",5239
2004-06-30,"HCE","Imports of low value goods purchased directly by households",109
2004-06-30,"HCE","Miscellaneous goods and services",1826
2004-06-30,"HCE","Recreation and culture",2318
2004-06-30,"HCE","Restaurants and hotels",1055
2004-06-30,"HCE","Transport",2866
2004-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",1085
2004-09-30,"HCE","Clothing and footwear",952
2004-09-30,"HCE","Communication",612
2004-09-30,"HCE","Food and nonalcoholic beverages",3058
2004-09-30,"HCE","Household contents and services",1337
2004-09-30,"HCE","Housing and household utilities",5341
2004-09-30,"HCE","Imports of low value goods purchased directly by households",131
2004-09-30,"HCE","Miscellaneous goods and services",1851
2004-09-30,"HCE","Recreation and culture",2402
2004-09-30,"HCE","Restaurants and hotels",1185
2004-09-30,"HCE","Transport",2940
2004-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",1095
2004-12-31,"HCE","Clothing and footwear",943
2004-12-31,"HCE","Communication",633
2004-12-31,"HCE","Food and nonalcoholic beverages",3065
